FIPS,Chlamydia Rate per 100000
37089,287.6
47077,436
48213,324
18063,263.6
12051,537.1
27053,625.3
51087,573.3
01067,570.7
13151,602.5
19087,314.5
17073,271
18065,307.5
21103,298.9
29083,380.6
39069,239.9
47079,470.1
51089,331
36043,269
12053,331.1
37091,812.5
38041,519.4
21105,112.8
47081,371.9
29085,179.7
35023,590.9
48215,392.8
39071,295
51091,0
12055,346.9
30041,1040.3
48217,262.7
12057,604.9
33011,329
26059,245.1
28049,1256.4
08053,123.8
31087,178.5
39073,268
48219,670.4
20083,54.9
37093,727.7
12059,442.3
28051,1375.8
39075,91.1
29087,113.3
31089,206.9
15003,583.9
48221,270.9
41027,425.5
31091,147.9
02105,Data not available
51670,1143.3
21107,390.9
48223,372.9
72067,97
45051,541.1
05059,466.3
56017,328.4
26061,169.7
01069,598.5
13153,621.1
27055,156.1
47083,340.1
48225,299.1
05061,857
19089,141.7
18067,522.8
24027,362.7
29089,387.7
31093,46.5
48227,392.5
29091,309
27057,267.7
34017,501.7
48229,167.1
08055,290.4
40063,360.8
46065,378.9
72069,187.6
06023,579.1
19091,366.1
32013,321.9
28053,1078
47085,226.4
48231,415.1
34019,170.7
42061,191.7
18069,251.1
26063,211.5
39077,342.7
46067,68.4
48233,293.6
37095,358.1
46069,78.7
22045,795.4
22047,957.4
19093,175.3
16049,163.9
06025,582.3
05063,431.6
12061,312.4
42063,399.1
26065,645
06027,378.9
26067,354.7
26069,239
19095,185.7
55049,160.2
37097,408.8
48235,263.9
26071,252.2
29093,323.9
49021,277.2
55051,140.7
17075,207.4
13155,638.6
72071,159
26073,407.3
27059,217.8
53029,250.5
51093,446.3
28055,382.6
27061,377.4
28057,0
05065,220.9
48237,521.2
01071,203.4
05067,793.9
08057,143.4
12063,513.4
13157,258.8
19097,247.1
17077,1082.2
18071,465.2
20085,354.2
21109,194
26075,599.1
27063,222.3
29095,918.5
28059,504.4
37099,467.9
39079,163.8
40065,657.9
41029,453.5
46071,854.2
47087,305.7
48239,249.4
55053,224.7
54035,90.6
22049,697.6
51095,334.1
13159,413.4
19099,263.5
17079,124.7
18073,284.7
29097,577.8
28061,840.2
45053,699.9
48241,385.8
18075,299.1
72073,165.1
13161,451.9
48243,222.9
01073,776.6
05069,1267.9
08059,230.1
12065,453.9
13163,914.2
19101,257.4
16051,98.6
17081,461.4
18077,388.7
20087,254.6
21111,617.2
29099,282.5
28063,1311.2
30043,157.1
31095,112.7
36045,780.4
39081,270.6
40067,245.7
41031,695.7
42065,169.7
47089,281.4
48245,582.9
53031,141.8
55055,263.4
54037,283
28065,838.2
22053,672.2
22051,725.1
13165,502
18079,274.6
46073,0
16053,382.3
17083,206.5
21113,333
20089,140.6
48247,385.2
48249,142.3
17085,239.1
05071,330.1
13167,381.2
19103,678.2
17087,177.1
18081,338.9
20091,357.8
21115,196.5
29101,764.6
31097,58.7
47091,180
48251,322.6
56019,106.6
37101,435.6
40069,526.3
13169,261.5
19105,232.2
28067,683.3
37103,499.3
46075,0
48253,100.7
41033,336.2
49023,154.8
72075,139.2
30045,51.4
72077,198.9
02110,477.6
55057,188
42067,105.2
26077,877.3
15005,3488.4
26079,219
27065,270.8
54039,278.3
27067,330.9
17089,409.2
49025,104.2
17091,613.9
48255,229.9
15007,228.6
48257,384.3
40071,546.1
31099,122.3
20093,406
31101,100
28069,904.1
02122,233.9
17093,337.5
48259,140.3
48261,228.8
23011,298.3
55059,503.2
10001,790.3
24029,375.6
26081,602.4
44003,267.6
48263,275.5
21117,395.1
19107,342.7
06029,777.4
48265,175.5
45055,477.2
02130,534.1
55061,117.7
26083,143.5
31103,124.1
38043,163.1
31105,55.9
48267,207.5
51097,269.7
48269,0
53033,459.2
51099,398.3
51101,301.4
40073,240.3
20095,249.3
06031,642.7
36047,840
46077,81.2
48271,162.5
08061,290.1
20097,281.2
40075,274.9
08063,265.4
53035,443.4
53037,485.7
27069,164
41035,517.1
48273,820.3
53039,234.9
21119,66.3
17095,490.2
18083,385.3
21121,460.1
23013,287
29103,126.1
31107,142.8
39083,185.8
47093,573.3
48275,163.8
02150,422.6
27071,201.1
16055,390.8
18085,343.8
19109,100.8
02158,2763.4
55063,454.1
04012,337.5
08067,403.2
48283,200.2
20099,507.4
27073,105
42069,274.9
29105,413
05073,733.6
12067,218.6
29107,307.3
28071,795.6
55065,239.9
22055,592.7
22057,624.6
18087,144.8
72079,127.3
06033,514.6
08065,471.6
12069,340.9
17097,462.3
18089,563.7
26085,286.3
27075,263.9
30047,536.1
39085,334.2
41037,217
46079,191.5
47095,891
27077,187.3
02164,626.6
01075,259.3
13171,448.3
28073,360.8
48277,639.5
48279,457.9
50015,276.7
38045,269.9
48281,307.6
31109,541.2
42071,288.6
45057,356.7
51103,607.7
32015,270.4
20101,129.4
41039,487.9
55067,275.5
13173,434.6
26087,211.6
18091,379.2
56021,394.5
72081,53.1
08069,428.3
21123,209.8
08071,372.2
72083,150.5
72085,194.4
17099,315.1
22059,409.4
06035,372.3
16057,434.4
40077,196.6
01077,443.8
28075,836
47097,896.3
21125,258.8
13175,665.5
45059,602.5
48285,218.8
01079,264.1
05075,486.9
17101,189.7
18093,317.8
21127,147.6
29109,339.7
28077,723
39087,287.8
42073,359.9
46081,365.4
47099,386.1
40079,537
27079,255.4
35025,490.3
28079,807.3
20103,497
42075,320.5
01081,493.7
05077,757.6
12071,418.2
13177,326
19111,297.9
17103,300.3
21129,99.3
28081,675.5
37105,467.3
45061,1156.5
48287,134.5
51105,143.7
26089,184.2
28083,1537.6
42077,509.3
16059,201.7
26091,288.4
37107,959.1
12073,1149.3
48289,278.1
21131,78.8
21133,114.6
12075,468.2
30049,352.7
16061,339.2
21135,218.6
29111,254.1
36049,230.3
47101,298.2
53041,351.9
54041,174.8
51678,178.2
45063,629.5
12077,510.3
13179,1742.4
30051,41.4
48291,456.9
39089,351.2
01083,416.9
48293,269.9
05079,303.4
08073,285.4
13181,328.1
16063,370.5
20105,33.4
21137,296.6
23015,267.4
27081,194.1
29113,343.7
28085,587.5
30053,232.4
37109,384.1
31111,307.3
35027,245.9
32017,152.8
40081,427.7
41041,264.1
46083,234.7
47103,465.1
53043,130.5
55069,238.5
54043,116.6
56023,144
22061,1320.3
19113,575.4
20107,286.6
29115,232.6
41043,371.1
48295,119.7
09005,217
05081,553
48297,650.3
17105,322
21139,227.2
26093,195.6
29117,382.1
36051,268.9
22063,444.1
48299,78.7
05083,369.1
08075,265
17107,463.5
20109,142.2
21141,326.1
38047,212
31113,264.9
39091,322.1
40083,626.5
54045,61.3
13183,335.2
05085,431.9
39093,477.3
35028,121.1
06037,673.8
47105,286.3
51107,223.2
19115,412.4
51109,261
31115,0
40085,324.9
48301,0
01085,992.6
13185,931.1
28087,898.6
72087,360.7
48303,824.7
19117,232.1
39095,788.2
26095,300.3
13187,237.1
35029,590.5
51111,368.4
72089,250.1
42079,390.7
42081,408.4
46085,972.7
51680,709.6
48305,188.1
19119,169.3
20111,525.5
21143,146.9
27083,355.7
32019,351.2
26097,241.2
26099,405.6
01087,1233.6
13193,569.9
17115,777
29121,309.9
37113,286.3
47111,341.7
17117,209.6
06039,584.5
01089,647.9
05087,189.5
12079,496.2
13195,404.8
19121,228.3
16065,50.9
17119,505.6
18095,591.2
21151,576.5
29123,254.3
28089,532.9
30057,152.4
37115,327.7
31119,341
36053,282.6
39097,211.8
47113,958
48313,271.5
51113,218.9
22065,1393.4
21153,308.4
19123,395.1
27087,764.1
39099,483.8
40093,354
41045,608.8
51683,575
51685,474.1
12081,403.2
72091,187.4
26101,114.5
55071,284.8
55073,245.2
01091,493.3
72093,147.5
04013,601.1
29125,159.6
06041,311.6
55075,306.9
01093,208.4
05089,210
12083,433.9
13197,501.6
19125,261.6
17121,679.5
18097,1085.6
20115,209.7
21155,388.1
29127,539.6
28091,533.3
39101,478.4
41047,548.3
45067,1027.2
47115,447.6
48315,373.2
54049,240.7
06043,183.9
45069,985.1
26103,465.5
55077,194.6
01095,229.8
19127,403.6
17123,148
18099,276.5
20117,185.3
21157,185.9
27089,159.9
28093,784.5
40095,340.8
46091,81.3
47117,411.2
54051,191.4
12085,222.1
18101,185.9
21159,114.8
27091,268.1
37117,750.2
48317,228.8
51690,989.9
17125,295.6
21161,363
26105,189.1
48319,140.9
53045,371.7
54053,164.5
17127,399.3
48321,309
02170,362.2
51115,295.7
15009,341.4
72095,231.6
47119,548.4
48323,420.4
72097,205.7
40097,393.1
40087,328.4
30055,0
46087,107.1
45065,403.9
21145,490
21147,277.6
48307,325.7
40089,643.1
29119,352.7
17109,950.5
37111,318.9
54047,65.9
13189,631.6
17111,230
38049,155
13191,600.5
38051,0
40091,400.1
42083,227.1
38053,316.3
35031,979
17113,554.5
21149,259.2
38055,188.9
48309,745.5
27085,231.7
47107,367.5
48311,136.8
47109,425.9
20113,287.4
31117,0
46089,0
20119,122
21163,178.2
46093,287.2
30059,215.4
37119,839.5
51117,486.5
26107,336.4
39103,196.7
48325,202.5
27093,194.4
39105,173.4
47121,365.9
46095,835.8
17129,227.8
48327,518.9
06045,497.7
21165,435
26109,226.8
55078,870.5
06047,598.6
17131,218.6
21167,414.7
29129,82.7
38057,133.1
34021,533.7
39107,173.4
42085,321.4
54055,109.8
13199,597.3
31121,90.5
33013,229.7
08077,418.4
21169,178.7
18103,280.5
20121,299.4
39109,238.6
12086,493.4
09007,265.2
25017,336.4
34023,315.4
51119,307.5
26111,234.3
48329,480.6
42087,365.7
48331,511.1
49027,146.3
27095,287.4
05091,998.6
13201,545.4
29131,177.8
19129,225.6
48333,122.9
55079,1182.2
46097,136.1
08079,129.5
30061,394.7
32021,330.1
54057,144.7
54059,62.9
16067,284.8
46099,578.6
26113,337.7
05093,1273.2
29133,731.7
30063,524.3
13205,709.3
19131,141.9
20123,163.7
37121,240.1
48335,293.3
01097,723.1
