"cnty_fips","display_name","Value","theme_range"
48271,"""Kinney, (TX)""",40.2,"38.3 - 41.8 (622)"
48273,"""Kleberg, (TX)""",30.2,"18.7 - 32.7 (646)"
48281,"""Lampasas, (TX)""",37.2,"35.8 - 38.2 (613)"
48283,"""La Salle, (TX)""",31.1,"18.7 - 32.7 (646)"
48285,"""Lavaca, (TX)""",40.3,"38.3 - 41.8 (622)"
48287,"""Lee, (TX)""",39.6,"38.3 - 41.8 (622)"
48289,"""Leon, (TX)""",42.8,"41.9 - 56.9 (624)"
48291,"""Liberty, (TX)""",36.6,"35.8 - 38.2 (613)"
48293,"""Limestone, (TX)""",41.5,"38.3 - 41.8 (622)"
48297,"""Live Oak, (TX)""",39.2,"38.3 - 41.8 (622)"
48299,"""Llano, (TX)""",45.6,"41.9 - 56.9 (624)"
48301,"""Loving, (TX)""",33.9,"32.8 - 35.7 (637)"
48307,"""McCulloch, (TX)""",40.6,"38.3 - 41.8 (622)"
48309,"""McLennan, (TX)""",35.4,"32.8 - 35.7 (637)"
48311,"""McMullen, (TX)""",38.9,"38.3 - 41.8 (622)"
48313,"""Madison, (TX)""",36.5,"35.8 - 38.2 (613)"
48319,"""Mason, (TX)""",42,"41.9 - 56.9 (624)"
48321,"""Matagorda, (TX)""",38.5,"38.3 - 41.8 (622)"
48323,"""Maverick, (TX)""",35.2,"32.8 - 35.7 (637)"
48325,"""Medina, (TX)""",35.8,"35.8 - 38.2 (613)"
48327,"""Menard, (TX)""",43.1,"41.9 - 56.9 (624)"
48329,"""Midland, (TX)""",30.1,"18.7 - 32.7 (646)"
48331,"""Milam, (TX)""",40.3,"38.3 - 41.8 (622)"
48333,"""Mills, (TX)""",42.4,"41.9 - 56.9 (624)"
48339,"""Montgomery, (TX)""",34.5,"32.8 - 35.7 (637)"
48347,"""Nacogdoches, (TX)""",34.4,"32.8 - 35.7 (637)"
48349,"""Navarro, (TX)""",39.7,"38.3 - 41.8 (622)"
48351,"""Newton, (TX)""",41.8,"38.3 - 41.8 (622)"
48355,"""Nueces, (TX)""",34.6,"32.8 - 35.7 (637)"
48361,"""Orange, (TX)""",37,"35.8 - 38.2 (613)"
